[INFO][2017-06-28 13:31:03,269][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:31:03,349][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2017-06-28 13:31:03,352][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[WARN][2017-06-28 13:31:03,580][org.hibernate.id.UUIDHexGenerator]HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
[INFO][2017-06-28 13:31:03,668][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2017-06-28 13:31:03,668][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2017-06-28 13:31:03,671][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2017-06-28 13:31:03,683][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: HemsCommunity.t_user
[INFO][2017-06-28 13:31:03,683][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [birthday, password, name, id]
[INFO][2017-06-28 13:31:03,683][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2017-06-28 13:31:03,683][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: []
[INFO][2017-06-28 13:31:03,683][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2017-06-28 13:31:46,043][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:31:54,086][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:31:54,126][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:31:54,230][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:31:54,235][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:31:54,237][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:31:54,238][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:31:54,626][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
